01.0	乳 乳制品
01.01	巴氏杀菌乳 灭菌乳 调制乳
01.01.01	巴氏杀菌乳
01.01.02	灭菌乳	
01.01.03	调制乳
01.02	发酵乳 风味发酵乳
01.02.01	发酵乳 酸乳
01.02.02	风味发酵乳 风味酸乳
01.03	乳粉 奶油粉
01.03.01	乳粉 奶油粉
01.03.02	调制乳粉 调制奶油粉	
01.04	炼乳
01.04.01	淡炼乳
01.04.02	调制炼乳
01.05	稀奶油 淡奶油
01.05.01	稀奶油
01.05.03	调制稀奶油
01.05.04	稀奶油类似品
01.06	干酪 再制干酪
01.06.01	非熟化干酪	非熟化干酪 未成熟干酪
01.06.02	熟化干酪	
01.06.03	乳清干酪
01.06.04	再制干酪
01.06.04.01	普通再制干酪
01.06.04.02	调味再制干酪
01.06.05	干酪类似品
01.06.06	乳清蛋白干酪
01.08	乳清粉 牛奶蛋白粉 酷蛋自粉 奶片
02.0	脂肪 油 油脂 乳化脂肪制品
02.01	植物油脂 动物油脂 无水黄油 无水乳脂。	
02.01.01	植物油脂
02.01.01.01	植物油
02.01.01.02	氢化植物油
02.01.02	动物油脂 猪油 牛油 鱼油
02.01.03	无水黄油 无水乳脂
02.02	水油状脂肪乳化制品
02.02.01.01	黄油 浓缩黄油
02.02.01.02	人造黄油 人造奶油 
02.03	脂肪乳化制品 无水人造奶油 人造酥油 无水酥油 无水黄油 无水人造奶油混合品 起酥油 液态酥油 可可脂 植脂奶油
02.04	乳基 脂基
02.05	植脂末 可可脂
03.0	冷冻饮品 冰淇淋 雪糕 风味冰 冰棍 食用冰 冰
03.01	冰淇淋 雪糕
03.03	风味冰 冰棍
03.04	食用冰
04.0	水果 蔬菜 块根 豆 食用菌 藻 坚果 籽
04.01	水果
04.01.01	新鲜水果
04.01.01.01	未经加工的鲜果
04.01.01.02	经表面处理的鲜水果
04.01.01.03	去皮或预切的鲜水果
04.01.02	加工水果
04.01.02.01	冷冻水果
04.01.02.02	水果干
04.01.02.03	醋、油或盐渍水果	包括的产品如醋、油或盐溃的李子、芒果、酸橙等。	
04.01.02.04	水果罐头	以水果为原料，经预处理、装罐(包括马口铁罐、玻璃罐、复合薄膜袋或其他包装材料容器)、加糖水、密封、杀菌等工艺制成的产品。	
04.01.02.05	果酱	以水果为原料，经破碎或打浆、添加糖或其他甜味料、浓缩、装罐、杀菌等工艺制成的酱类产品。	
04.01.02.06	果泥	以水果为主要原料，经加工制成的泥状产品。	
04.01.02.07	除04.01.02.05以外的果酱（如印度酸辣酱）	除04.01.02.05以外的其他调味果酱，如印度酸辣酱等。	
04.01.02.08	蜜饯凉果	以果蔬为原料，通过不同的加工方式制成的产品。包括:蜜饯类、凉果类、果脯类、话化类(甘草制品)、果丹(饼)类、果糕类。	
04.01.02.08.01	蜜饯类	以水果为主要原料，经糖(蜜)熬煮或没渍，添加或不添加食品添加剂，或略干燥处理，制成带有湿润糖液面或浸溃在浓糖液中的湿态制品。	
04.01.02.08.02	凉果类	以果蔬为主要原料，经或不经糖熬煮、浸渍或腌制，添加或不添加食品添加剂等，经不同处理后制成的具有浓郁香味的干态制品。	
04.01.02.08.03	果脯类	以果蔬为原料，经或不经糖熬煮或浸溃，可以加入食品添加剂为辅助原料制成的表面不粘不燥、有透明感、无糖霜析出的干态制品。	
04.01.02.08.04	话化类	以水果为主要原料，经腌制，添加食品添加剂，加或不加糖和(或)甜味剂，加或不加甘草制成的干态制品。	
04.01.02.08.05	果糕类	以果蔬为主要原料，经磨碎或打浆，加入糖类和(或)食品添加剂后制成的各种形态的糕状制品，包括果丹(饼)类等。	
04.01.02.09	装饰性果蔬	用干装饰食品的果蔬制品。如染色樱桃、红绿丝以及水果调昧料等。	
04.01.02.10	水果甜品，包括果味液体甜品	以水果为主要原料，添加糖和(或)甜味剂等其他物质制成的甜品。包括水果块和果浆的甜点凝胶、果味凝胶等。一般为即食产品。	
04.01.02.11	发酵的水果制品	以水果为原料，加入盐和(或)其他调味料，经微生物发酵制成的制品。如发酵李子。	
04.01.02.12	煮熟的或油炸的水果	以水果为原料，经蒸、煮、烤或油炸的制品。例如:烤苹果、油炸苹果圈。	
